degree,specialization,cgpa,academic_performance,Python,Java,C_CPP,SQL,HTML_CSS,JavaScript,Excel,Power_BI,Statistics,Machine_Learning,Deep_Learning,Cloud_Computing,Networking,Cybersecurity,Git_GitHub,Communication,Problem_Solving,Teamwork,Leadership,Analytical_Thinking,interests,career_label
B.Sc Information Technology,Data Science,7.12,First Class,3,1,0,4,0,1,5,4,4,2,0,3,2,1,2,5,5,3,2,5,Data Analysis; Database Management; Web Development; Cloud Computing,Data Analyst
B.Sc Information Technology,Software Engineering,7.89,First Class,2,2,3,1,2,2,1,0,1,0,1,3,5,5,2,2,5,3,4,5,Cybersecurity; Cloud Computing; Artificial Intelligence; Machine Learning,Cybersecurity Analyst
B.Sc Information Technology,Cloud & Security,6.49,Second Class,4,1,2,3,4,4,0,2,1,2,0,2,2,2,4,3,4,4,1,3,Web Development; Software Development; Artificial Intelligence; Cybersecurity,Web Developer
B.Sc Information Technology,Information Technology,8.66,Distinction,2,1,1,3,0,0,3,3,2,1,0,2,1,3,3,4,4,3,3,4,Database Management; Artificial Intelligence,Database Administrator
B.Sc Computer Science,Software Engineering,7.65,First Class,3,3,1,3,5,4,2,0,2,0,0,2,3,1,4,3,3,4,2,3,Web Development; Software Development; Artificial Intelligence; Cybersecurity,Web Developer
B.Sc Information Technology,Information Technology,6.14,Second Class,3,2,1,3,5,3,2,0,2,2,1,2,1,2,3,3,4,3,3,4,Web Development; Software Development; Database Management,Web Developer
B.Sc Computer Science,Web Technologies,8.0,First Class,3,1,1,2,2,0,3,4,5,5,3,3,1,0,2,5,5,3,4,5,Data Science; Artificial Intelligence; Machine Learning; Software Development,Data Scientist
B.Sc Information Technology,Software Engineering,5.52,Pass,4,5,5,2,2,3,2,1,2,0,0,1,2,2,4,3,5,4,3,5,Software Development; Cybersecurity; Cloud Computing,Software Developer
B.Sc Computer Science,Web Technologies,8.31,First Class,1,1,1,5,1,0,3,2,3,1,0,3,2,3,2,3,4,3,3,4,Database Management; Cybersecurity,Database Administrator
B.Sc Information Technology,Cloud & Security,8.7,Distinction,4,2,4,2,1,1,0,2,0,2,0,3,3,3,2,3,5,3,3,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Computer Science,Web Technologies,7.36,First Class,3,2,1,1,1,0,1,1,1,0,0,5,3,3,2,3,4,5,3,4,Cloud Computing,Cloud Engineer
B.Sc Information Technology,Software Engineering,6.43,Second Class,4,0,0,4,1,0,3,3,5,2,0,2,1,0,2,4,4,3,2,5,Data Analysis; Database Management; Cloud Computing,Data Analyst
B.Sc Computer Science,Web Technologies,9.35,Distinction,3,0,1,3,1,2,2,0,2,1,0,2,4,5,3,3,5,3,3,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Web Technologies,7.52,First Class,3,0,4,4,2,1,0,0,2,0,0,3,3,5,2,4,5,3,2,5,Cybersecurity; Cloud Computing; Machine Learning,Cybersecurity Analyst
B.Sc Information Technology,Cloud & Security,6.56,Second Class,3,0,0,4,1,0,4,3,4,1,1,2,1,1,2,4,4,4,2,5,Data Analysis; Database Management; Software Development; Machine Learning,Data Analyst
B.Sc Computer Science,Information Technology,8.44,First Class,2,0,1,3,5,5,1,1,1,1,0,1,2,2,5,2,3,3,1,3,Web Development; Software Development; Cloud Computing; Artificial Intelligence,Web Developer
BCA,Data Science,8.22,First Class,2,2,2,5,0,1,4,2,2,2,1,4,3,3,3,2,4,3,4,5,Database Management,Database Administrator
B.Sc Information Technology,Data Science,7.14,First Class,3,3,1,3,5,4,0,1,1,1,0,3,3,2,3,3,3,5,2,3,Web Development; Software Development; Machine Learning,Web Developer
B.Sc Information Technology,Data Science,7.55,First Class,3,3,1,5,1,1,3,2,2,1,0,3,3,3,4,3,3,3,3,4,Database Management; Data Science,Database Administrator
B.Sc Information Technology,Data Science,6.92,Second Class,2,2,1,4,4,5,0,1,1,1,0,1,2,2,4,4,4,4,2,4,Web Development; Software Development; Cloud Computing,Web Developer
B.Sc Information Technology,Cloud & Security,7.62,First Class,5,2,3,4,0,3,2,3,4,5,5,4,1,0,4,3,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Web Development,Machine Learning Engineer
B.Sc Information Technology,Software Engineering,6.08,Second Class,3,1,1,4,1,1,3,4,4,3,0,1,1,1,2,3,5,3,2,5,Data Analysis; Database Management; Cloud Computing,Data Analyst
B.Sc Information Technology,Web Technologies,7.01,First Class,4,2,4,3,2,2,1,0,1,0,0,3,5,5,4,3,5,2,3,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Data Science,7.66,First Class,2,2,2,1,2,0,0,1,2,0,0,4,3,5,3,3,5,2,3,5,Cybersecurity; Cloud Computing; Artificial Intelligence; Web Development,Cybersecurity Analyst
B.Sc Computer Science,Software Engineering,8.45,First Class,3,1,0,4,1,0,3,4,3,1,0,2,1,1,2,3,5,2,2,5,Data Analysis; Database Management; Cybersecurity,Data Analyst
B.Sc Information Technology,Data Science,8.92,Distinction,1,3,2,3,0,1,1,1,1,1,0,5,2,2,3,3,4,4,4,4,Cloud Computing; Data Science,Cloud Engineer
B.Sc Information Technology,Data Science,6.16,Second Class,4,1,1,3,2,1,4,4,4,2,0,0,2,1,2,4,3,2,2,5,Data Analysis; Database Management,Data Analyst
B.Sc Information Technology,Cloud & Security,7.0,First Class,4,2,4,3,2,2,1,1,2,1,0,2,3,0,5,3,5,5,3,5,Software Development,Software Developer
B.Sc Information Technology,Data Science,7.02,First Class,3,2,0,3,5,5,0,1,1,1,1,3,2,1,4,2,3,4,3,4,Web Development; Software Development; Database Management,Web Developer
B.Sc Information Technology,Data Science,6.05,Second Class,3,1,4,3,2,2,1,2,2,1,0,4,5,5,3,3,5,2,3,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Web Technologies,5.5,Pass,3,2,0,2,3,5,0,2,1,0,0,2,1,0,3,3,5,4,3,3,Web Development; Software Development; Database Management,Web Developer
B.Sc Information Technology,Information Technology,7.86,First Class,5,3,2,3,1,1,0,1,5,3,5,4,2,1,4,2,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
B.Sc Computer Science,Data Science,9.13,Distinction,5,3,2,4,0,0,2,1,5,5,5,3,1,2,5,2,5,3,3,5,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
B.Sc Information Technology,Data Science,7.17,First Class,3,1,3,2,2,2,1,1,2,2,0,3,4,5,1,2,5,3,3,5,Cybersecurity; Cloud Computing; Database Management; Machine Learning,Cybersecurity Analyst
B.Sc Computer Science,Cloud & Security,6.19,Second Class,4,1,0,4,0,0,5,4,5,2,0,1,0,1,2,5,4,2,2,5,Data Analysis; Database Management,Data Analyst
B.Sc Information Technology,Data Science,7.31,First Class,3,2,2,0,1,2,1,1,1,2,0,4,5,2,4,3,4,5,3,5,Cloud Computing; Artificial Intelligence; Web Development,Cloud Engineer
B.Sc Information Technology,Web Technologies,8.06,First Class,2,2,2,5,2,0,3,2,1,1,0,3,3,3,3,3,4,3,3,3,Database Management,Database Administrator
B.Sc Information Technology,Web Technologies,9.9,Distinction,1,2,1,3,2,2,2,0,2,1,0,4,5,5,4,4,5,4,3,4,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Information Technology,6.39,Second Class,1,2,1,3,4,5,1,2,0,1,0,1,2,2,2,3,4,3,3,4,Web Development; Software Development; Data Analysis,Web Developer
B.Sc Information Technology,Software Engineering,9.34,Distinction,5,1,1,4,1,1,3,2,5,5,4,3,2,1,4,4,5,4,3,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Information Technology,8.85,Distinction,3,0,1,4,4,5,1,0,0,1,0,2,2,2,3,3,3,5,2,4,Web Development; Software Development; Artificial Intelligence,Web Developer
B.Sc Computer Science,Cloud & Security,7.57,First Class,4,2,0,4,1,0,2,3,5,4,4,3,2,0,4,4,4,3,3,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Cloud & Security,7.81,First Class,3,2,0,2,1,2,1,1,0,1,0,5,4,3,3,4,5,4,3,4,Cloud Computing; Data Analysis,Cloud Engineer
B.Sc Information Technology,Data Science,7.33,First Class,3,3,1,1,5,4,1,1,0,1,0,2,2,1,3,3,4,5,1,4,Web Development; Software Development; Database Management,Web Developer
B.Sc Computer Science,Data Science,8.88,Distinction,2,1,0,5,1,1,4,4,4,2,0,2,1,1,3,3,4,2,2,5,Data Analysis; Database Management; Artificial Intelligence,Data Analyst
B.Sc Information Technology,Data Science,7.83,First Class,5,3,2,3,0,2,2,2,3,4,5,2,2,0,3,4,4,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity; Database Management,Machine Learning Engineer
B.Sc Information Technology,Information Technology,7.39,First Class,3,0,0,4,1,1,4,4,3,0,0,1,1,0,2,3,4,4,1,4,Data Analysis; Database Management; Cybersecurity,Data Analyst
B.Sc Information Technology,Data Science,6.87,Second Class,1,2,1,3,5,5,0,1,2,1,0,2,2,2,5,3,4,3,2,3,Web Development; Software Development,Web Developer
B.Sc Information Technology,Data Science,7.65,First Class,3,1,1,1,1,2,1,1,0,1,0,5,4,3,3,2,4,3,4,3,Cloud Computing; Cybersecurity,Cloud Engineer
B.Sc Computer Science,Web Technologies,8.04,First Class,5,0,0,5,1,0,3,3,5,4,4,2,1,1,4,4,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Database Management,Data Scientist
B.Sc Information Technology,Web Technologies,7.74,First Class,2,3,1,4,0,0,3,2,1,0,0,4,3,3,4,3,4,3,3,3,Database Management; Data Science,Database Administrator
B.Sc Information Technology,Cloud & Security,6.02,Second Class,3,0,0,5,2,1,4,5,4,2,1,2,1,0,1,5,4,3,1,5,Data Analysis; Database Management; Cybersecurity,Data Analyst
B.Sc Computer Science,Cloud & Security,8.61,Distinction,5,3,2,4,0,2,2,2,4,5,5,3,1,1,4,4,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Database Management,Machine Learning Engineer
B.Sc Information Technology,Information Technology,6.08,Second Class,2,2,1,4,1,0,4,1,3,1,0,2,3,3,3,2,5,4,3,4,Database Management; Software Development,Database Administrator
B.Sc Information Technology,Data Science,5.81,Pass,5,2,0,4,0,1,3,3,5,4,4,3,1,1,5,5,5,2,3,5,Data Science; Artificial Intelligence; Machine Learning; Web Development; Database Management,Data Scientist
B.Sc Information Technology,Web Technologies,7.8,First Class,4,2,2,3,1,3,0,1,1,1,0,0,0,3,3,3,4,3,3,4,Software Development; Database Management; Machine Learning,Software Developer
B.Sc Information Technology,Data Science,6.95,Second Class,1,2,0,5,2,1,4,1,3,1,0,3,4,1,3,4,3,3,3,4,Database Management; Data Science,Database Administrator
B.Sc Information Technology,Data Science,6.53,Second Class,2,5,5,3,0,3,1,0,1,1,1,2,1,2,4,2,5,4,3,4,Software Development; Database Management; Data Analysis,Software Developer
B.Sc Computer Science,Data Science,7.77,First Class,3,1,0,4,2,0,3,4,2,2,0,3,1,1,3,4,5,2,2,5,Data Analysis; Database Management; Software Development,Data Analyst
B.Sc Information Technology,Web Technologies,7.66,First Class,4,2,3,3,1,2,1,1,2,0,0,4,3,4,3,3,5,4,3,5,Cybersecurity; Cloud Computing; Machine Learning,Cybersecurity Analyst
B.Sc Information Technology,Data Science,7.32,First Class,3,2,1,0,0,1,0,1,0,2,0,5,2,3,3,3,5,4,2,4,Cloud Computing; Software Development,Cloud Engineer
B.Sc Information Technology,Cloud & Security,6.51,Second Class,4,2,3,3,2,3,1,1,2,2,0,2,5,5,3,2,4,3,4,5,Cybersecurity; Cloud Computing; Data Science,Cybersecurity Analyst
B.Sc Information Technology,Information Technology,6.72,Second Class,2,1,0,2,1,2,3,4,4,2,0,2,1,0,2,4,3,3,3,5,Data Analysis; Database Management; Software Development,Data Analyst
B.Sc Information Technology,Software Engineering,8.06,First Class,1,2,0,5,1,2,4,2,3,2,1,1,3,3,2,4,3,3,2,4,Database Management; Cybersecurity,Database Administrator
B.Sc Computer Science,Web Technologies,6.16,Second Class,2,2,1,5,0,2,4,2,0,1,0,4,4,4,3,4,3,3,2,5,Database Management; Data Analysis; Software Development,Database Administrator
B.Sc Information Technology,Web Technologies,8.06,First Class,5,3,3,3,1,0,2,2,4,5,5,4,1,1,5,3,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Database Management,Machine Learning Engineer
B.Sc Computer Science,Web Technologies,7.21,First Class,3,1,0,0,1,1,2,1,1,1,0,5,5,1,4,3,5,4,2,4,Cloud Computing; Web Development,Cloud Engineer
B.Sc Information Technology,Cloud & Security,7.21,First Class,3,4,3,1,0,4,1,1,3,2,0,2,2,1,4,3,5,4,3,4,Software Development,Software Developer
B.Sc Information Technology,Cloud & Security,8.18,First Class,2,2,0,4,1,1,2,2,2,1,0,3,2,3,3,3,5,2,2,4,Database Management; Web Development,Database Administrator
B.Sc Information Technology,Data Science,8.39,First Class,3,1,0,3,5,5,2,1,1,0,0,3,1,3,4,3,3,4,2,3,Web Development; Software Development; Artificial Intelligence,Web Developer
B.Sc Information Technology,Cloud & Security,7.31,First Class,3,2,0,1,0,2,1,0,1,1,0,3,2,2,4,4,5,5,3,4,Cloud Computing; Software Development; Database Management,Cloud Engineer
B.Sc Information Technology,Web Technologies,8.07,First Class,4,4,5,4,1,3,1,1,2,1,0,1,2,1,3,3,4,4,3,4,Software Development; Web Development,Software Developer
B.Sc Information Technology,Information Technology,7.55,First Class,5,2,2,2,0,2,3,3,5,5,4,2,1,2,3,5,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Database Management,Data Scientist
B.Sc Information Technology,Software Engineering,6.37,Second Class,4,2,4,3,2,0,2,3,5,4,5,3,2,2,4,3,4,3,2,5,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
B.Sc Information Technology,Software Engineering,8.68,Distinction,5,2,0,3,1,1,2,4,5,5,5,3,1,1,3,5,5,3,3,4,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Data Science,7.03,First Class,2,0,0,4,0,0,2,4,5,1,0,3,2,1,0,3,4,3,1,5,Data Analysis; Database Management,Data Analyst
B.Sc Information Technology,Web Technologies,9.9,Distinction,3,2,2,3,5,5,0,1,2,1,0,1,2,3,4,2,4,4,1,4,Web Development; Software Development; Cybersecurity; Machine Learning,Web Developer
B.Sc Information Technology,Web Technologies,7.96,First Class,3,2,1,3,5,4,0,1,2,1,0,2,2,2,4,3,4,4,2,4,Web Development; Software Development; Data Science,Web Developer
B.Sc Information Technology,Web Technologies,8.39,First Class,4,2,4,3,2,4,1,0,3,1,0,1,1,2,4,4,5,5,3,4,Software Development; Data Analysis,Software Developer
B.Sc Information Technology,Software Engineering,6.76,Second Class,4,4,2,3,2,3,1,0,2,2,0,2,2,3,5,3,4,5,3,4,Software Development; Data Science; Cloud Computing,Software Developer
B.Sc Information Technology,Information Technology,7.04,First Class,3,1,1,4,2,1,3,4,3,2,1,1,1,1,2,4,4,2,2,4,Data Analysis; Database Management; Data Science,Data Analyst
B.Sc Information Technology,Cloud & Security,8.24,First Class,4,3,3,2,1,2,0,1,5,5,4,4,2,2,4,2,5,3,3,5,Machine Learning; Artificial Intelligence; Data Science; Software Development; Cloud Computing,Machine Learning Engineer
B.Sc Computer Science,Data Science,7.75,First Class,5,2,4,4,0,0,2,2,3,5,4,3,2,2,4,3,5,5,2,5,Machine Learning; Artificial Intelligence; Data Science; Database Management; Cybersecurity,Machine Learning Engineer
B.Sc Information Technology,Data Science,5.5,Pass,3,1,2,3,5,4,0,2,1,2,0,1,2,2,3,3,4,3,2,3,Web Development; Software Development; Database Management,Web Developer
B.Sc Information Technology,Cloud & Security,7.59,First Class,4,1,1,3,5,5,0,1,1,1,0,3,2,1,4,3,5,3,1,2,Web Development; Software Development; Data Analysis,Web Developer
B.Sc Information Technology,Cloud & Security,9.31,Distinction,3,2,3,1,2,1,1,1,1,1,0,3,4,4,3,2,5,2,3,5,Cybersecurity; Cloud Computing; Software Development,Cybersecurity Analyst
B.Sc Information Technology,Software Engineering,7.25,First Class,3,3,0,2,4,4,1,1,1,2,0,2,1,2,4,4,4,3,2,2,Web Development; Software Development,Web Developer
B.Sc Information Technology,Web Technologies,7.9,First Class,3,3,1,5,1,1,3,2,0,2,0,3,3,2,3,3,4,2,3,4,Database Management; Web Development,Database Administrator
B.Sc Information Technology,Cloud & Security,6.18,Second Class,3,2,3,2,2,3,1,0,2,1,0,3,4,5,2,2,5,3,3,5,Cybersecurity; Cloud Computing; Web Development,Cybersecurity Analyst
B.Sc Information Technology,Web Technologies,8.48,First Class,2,3,2,3,2,2,1,2,1,0,0,1,5,5,4,3,5,3,4,4,Cybersecurity; Cloud Computing; Machine Learning,Cybersecurity Analyst
B.Sc Information Technology,Data Science,6.03,Second Class,2,1,2,3,2,2,1,2,3,2,0,4,5,5,2,3,4,3,3,5,Cybersecurity; Cloud Computing; Software Development; Machine Learning,Cybersecurity Analyst
B.Sc Information Technology,Information Technology,6.49,Second Class,3,2,1,2,5,4,0,0,0,0,0,1,2,1,3,3,5,5,3,3,Web Development; Software Development; Database Management,Web Developer
BCA,Cloud & Security,7.32,First Class,2,2,0,5,1,1,2,1,3,1,0,3,2,3,3,3,4,3,2,4,Database Management; Software Development; Data Analysis,Database Administrator
BCA,Web Technologies,7.44,First Class,1,3,0,3,3,3,2,1,0,1,0,3,2,3,4,3,5,4,1,3,Web Development; Software Development,Web Developer
B.Sc Information Technology,Cloud & Security,7.0,First Class,5,0,1,4,0,1,3,3,4,5,4,2,0,1,3,4,5,2,2,5,Data Science; Artificial Intelligence; Machine Learning; Data Analysis,Data Scientist
B.Sc Information Technology,Information Technology,7.53,First Class,4,5,4,3,2,3,1,2,2,2,0,2,2,2,5,2,4,4,2,5,Software Development,Software Developer
B.Sc Information Technology,Web Technologies,7.67,First Class,2,2,0,5,2,0,3,2,2,1,0,1,4,3,2,3,4,4,4,5,Database Management,Database Administrator
B.Sc Information Technology,Web Technologies,5.72,Pass,3,2,1,1,2,0,0,1,1,0,0,3,5,3,3,2,4,4,4,5,Cloud Computing; Data Analysis,Cloud Engineer
B.Sc Information Technology,Web Technologies,7.92,First Class,3,2,2,3,5,5,1,1,0,1,0,2,2,3,4,3,4,5,2,3,Web Development; Software Development; Data Analysis,Web Developer
B.Sc Information Technology,Information Technology,5.79,Pass,2,2,0,1,0,2,1,0,0,2,0,5,4,3,2,3,4,4,4,4,Cloud Computing,Cloud Engineer
BCA,Information Technology,7.86,First Class,5,2,0,4,1,0,3,3,5,5,4,3,1,0,4,3,4,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing,Data Scientist
B.Sc Information Technology,Data Science,7.7,First Class,5,3,2,4,1,1,2,3,4,5,4,3,2,0,4,3,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Software Engineering,8.28,First Class,3,2,3,2,2,3,1,1,2,1,0,2,2,2,3,2,5,4,4,5,Software Development,Software Developer
B.Sc Information Technology,Information Technology,6.55,Second Class,3,1,2,5,2,0,2,2,1,1,0,3,4,4,3,3,5,4,2,4,Database Management,Database Administrator
B.Sc Information Technology,Cloud & Security,6.95,Second Class,3,0,0,2,1,1,4,4,4,2,1,1,0,0,0,4,5,2,1,5,Data Analysis; Database Management; Cybersecurity; Web Development,Data Analyst
B.Sc Information Technology,Web Technologies,8.33,First Class,3,1,1,2,0,2,1,1,2,1,0,3,4,3,4,3,5,3,2,4,Cloud Computing; Data Analysis; Machine Learning,Cloud Engineer
B.Sc Information Technology,Cloud & Security,7.26,First Class,4,2,1,3,4,4,1,2,2,1,0,3,2,2,4,3,4,4,3,2,Web Development; Software Development; Machine Learning,Web Developer
BCA,Web Technologies,7.31,First Class,1,3,2,3,5,5,0,0,2,1,0,3,2,0,3,2,3,4,1,2,Web Development; Software Development; Machine Learning,Web Developer
B.Sc Information Technology,Software Engineering,6.72,Second Class,3,1,0,2,1,1,1,2,0,0,1,5,4,2,4,3,5,4,3,5,Cloud Computing; Data Science; Software Development,Cloud Engineer
B.Sc Information Technology,Web Technologies,7.98,First Class,2,1,1,3,1,2,1,0,1,1,1,5,3,3,4,2,5,5,3,4,Cloud Computing; Data Analysis,Cloud Engineer
B.Sc Information Technology,Data Science,8.06,First Class,5,3,4,3,1,1,3,0,3,4,5,4,2,1,4,3,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Database Management,Machine Learning Engineer
B.Sc Computer Science,Software Engineering,7.13,First Class,3,2,2,3,5,5,2,1,0,1,1,1,2,0,4,4,4,4,3,2,Web Development; Software Development; Data Science; Data Analysis,Web Developer
B.Sc Information Technology,Cloud & Security,6.8,Second Class,4,2,0,2,5,5,1,1,1,1,0,2,2,0,2,3,5,4,3,3,Web Development; Software Development; Database Management; Data Analysis,Web Developer
B.Sc Information Technology,Data Science,7.12,First Class,3,2,0,3,1,0,3,3,5,5,4,2,1,2,3,3,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Software Engineering,7.38,First Class,4,2,1,2,5,4,1,0,0,0,0,2,1,3,4,3,4,4,1,4,Web Development; Software Development; Artificial Intelligence,Web Developer
B.Sc Information Technology,Software Engineering,7.35,First Class,2,1,0,4,1,0,4,5,3,2,1,2,0,0,0,4,4,2,3,5,Data Analysis; Database Management,Data Analyst
B.Sc Information Technology,Software Engineering,6.65,Second Class,1,1,1,4,1,1,3,2,2,2,0,3,3,3,3,3,4,4,3,3,Database Management; Software Development,Database Administrator
B.Sc Computer Science,Software Engineering,8.96,Distinction,5,0,0,2,1,2,2,3,5,5,3,2,0,1,3,5,5,3,3,4,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing,Data Scientist
B.Sc Information Technology,Cloud & Security,8.66,Distinction,2,2,3,4,2,1,1,1,2,1,0,3,5,4,2,3,5,3,3,5,Cybersecurity; Cloud Computing; Web Development; Data Analysis,Cybersecurity Analyst
B.Sc Information Technology,Software Engineering,7.87,First Class,3,1,2,2,0,2,1,0,2,2,0,3,5,3,3,4,4,4,3,4,Cybersecurity; Cloud Computing; Web Development,Cybersecurity Analyst
B.Sc Information Technology,Data Science,6.9,Second Class,4,3,1,4,2,3,2,1,1,0,0,3,5,5,2,4,4,3,3,4,Cybersecurity; Cloud Computing; Data Science,Cybersecurity Analyst
B.Sc Information Technology,Web Technologies,7.46,First Class,2,3,0,3,1,2,2,0,0,0,0,5,4,1,4,3,4,5,3,4,Cloud Computing; Machine Learning,Cloud Engineer
B.Sc Information Technology,Data Science,6.69,Second Class,4,0,3,3,0,1,0,1,3,1,0,3,5,5,3,3,4,4,2,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Data Science,6.2,Second Class,1,2,2,2,1,1,1,1,0,1,0,5,4,3,4,3,5,5,3,3,Cloud Computing; Data Analysis; Data Science,Cloud Engineer
B.Sc Information Technology,Information Technology,5.71,Pass,3,2,0,3,1,3,1,1,0,1,0,4,4,3,3,3,4,3,3,4,Cloud Computing; Web Development; Data Science,Cloud Engineer
B.Sc Information Technology,Data Science,9.0,Distinction,1,2,1,2,1,2,0,1,0,0,0,5,4,4,5,4,5,5,3,3,Cloud Computing; Software Development,Cloud Engineer
B.Sc Information Technology,Information Technology,7.2,First Class,4,3,3,4,2,3,3,3,5,5,4,5,3,1,4,2,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Web Development; Cybersecurity,Machine Learning Engineer
B.Sc Information Technology,Cloud & Security,8.15,First Class,4,4,4,3,2,2,2,1,1,1,0,1,1,0,4,3,5,3,3,4,Software Development; Artificial Intelligence,Software Developer
B.Sc Information Technology,Web Technologies,7.45,First Class,1,2,2,5,1,0,2,3,1,1,0,4,3,3,3,4,5,3,3,4,Database Management; Data Science; Machine Learning,Database Administrator
B.Sc Computer Science,Cloud & Security,7.48,First Class,4,3,2,4,1,3,2,2,4,5,5,3,2,2,4,3,4,4,3,5,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
B.Sc Computer Science,Data Science,6.1,Second Class,3,1,2,4,1,2,2,3,5,4,3,3,1,1,2,5,4,3,3,4,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Data Science,7.63,First Class,5,4,3,4,1,2,2,1,4,5,3,4,2,2,4,3,5,5,3,5,Machine Learning; Artificial Intelligence; Data Science; Database Management,Machine Learning Engineer
B.Sc Computer Science,Web Technologies,7.86,First Class,5,3,1,4,1,1,1,4,3,5,4,4,0,1,4,4,4,3,3,4,Data Science; Artificial Intelligence; Machine Learning; Web Development,Data Scientist
B.Sc Information Technology,Software Engineering,7.6,First Class,5,2,0,5,1,2,2,2,5,5,3,2,1,1,4,4,5,4,3,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity; Database Management,Data Scientist
B.Sc Information Technology,Cloud & Security,6.92,Second Class,4,4,4,4,2,2,1,0,2,1,0,2,2,2,3,3,5,4,3,4,Software Development,Software Developer
B.Sc Information Technology,Data Science,6.57,Second Class,2,2,4,3,2,2,1,1,3,1,0,4,5,5,3,3,5,2,3,5,Cybersecurity; Cloud Computing; Artificial Intelligence,Cybersecurity Analyst
B.Sc Information Technology,Web Technologies,6.26,Second Class,1,1,0,3,1,1,3,4,3,2,1,3,1,1,3,3,5,4,1,4,Data Analysis; Database Management; Software Development; Artificial Intelligence,Data Analyst
B.Sc Information Technology,Information Technology,6.69,Second Class,5,2,1,4,0,1,3,3,5,5,4,3,0,0,4,4,5,3,4,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Information Technology,7.95,First Class,3,2,1,4,1,1,3,2,1,1,0,2,3,3,4,2,4,2,3,3,Database Management; Data Science,Database Administrator
B.Sc Information Technology,Data Science,7.72,First Class,2,2,0,4,2,1,2,2,2,0,0,2,3,3,3,3,3,3,3,4,Database Management,Database Administrator
B.Sc Information Technology,Cloud & Security,6.58,Second Class,3,0,2,3,5,5,2,2,2,1,0,2,0,1,4,3,4,4,2,3,Web Development; Software Development; Data Science,Web Developer
B.Sc Information Technology,Software Engineering,7.09,First Class,3,2,4,3,2,2,1,0,2,0,0,3,5,5,2,4,5,4,3,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Software Engineering,7.32,First Class,2,2,0,4,2,1,3,4,4,2,0,1,1,1,2,4,4,2,2,4,Data Analysis; Database Management; Cybersecurity; Machine Learning,Data Analyst
B.Sc Information Technology,Cloud & Security,6.62,Second Class,3,5,4,2,2,4,1,1,2,1,0,1,2,2,4,3,4,3,3,4,Software Development; Web Development,Software Developer
B.Sc Information Technology,Data Science,5.96,Pass,1,0,0,3,5,5,0,1,1,0,0,2,2,2,3,3,4,3,2,3,Web Development; Software Development,Web Developer
B.Sc Information Technology,Information Technology,6.7,Second Class,3,3,4,1,2,2,1,1,3,1,0,3,5,5,3,4,5,4,3,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Information Technology,5.65,Pass,4,2,1,3,1,2,2,2,1,0,0,5,4,3,3,3,4,5,4,4,Cloud Computing; Machine Learning,Cloud Engineer
B.Sc Computer Science,Web Technologies,8.7,Distinction,5,1,3,4,2,0,2,1,4,3,3,4,0,2,5,4,4,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Data Analysis; Cloud Computing,Machine Learning Engineer
B.Sc Computer Science,Web Technologies,7.09,First Class,1,2,0,4,1,0,4,4,4,1,0,2,2,2,2,4,4,2,3,5,Data Analysis; Database Management; Artificial Intelligence,Data Analyst
